avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_inc_price,inc_pct,weekday_pct,fancy_car_user,city_Carthag,city_Harko,phone_iPhone,first_month_cat_more_1_trip,first_month_cat_no_trips,month_5_still_here
0,3.67,5.0,4.7,1.10,15.4,46.2,True,0,1,1,1,0,1
1,8.26,5.0,5.0,1.00,0.0,50.0,False,1,0,0,0,1,0
2,0.77,5.0,4.3,1.00,0.0,100.0,False,1,0,1,1,0,0
3,2.36,4.9,4.6,1.14,20.0,80.0,True,0,1,1,1,0,1
4,3.13,4.9,4.4,1.19,11.8,82.4,False,0,0,0,1,0,0
5,10.56,5.0,3.5,1.00,0.0,100.0,True,0,0,1,1,0,1
6,3.95,4.0,NaN,1.00,0.0,100.0,False,1,0,0,0,0,0
7,2.04,5.0,5.0,1.00,0.0,100.0,False,0,0,1,1,0,0
8,4.36,5.0,4.5,1.00,0.0,100.0,False,0,0,0,1,0,0
9,2.37,5.0,NaN,1.00,0.0,0.0,False,0,0,0,0,0,0
10,4.28,4.9,5.0,1.00,0.0,100.0,True,0,0,1,0,0,1
11,3.81,5.0,4.0,1.00,0.0,100.0,False,0,0,1,1,0,0
12,20.29,5.0,NaN,1.00,0.0,100.0,False,0,0,1,0,0,0
13,3.04,5.0,4.0,1.38,50.0,50.0,False,0,1,1,0,1,1
14,26.01,5.0,NaN,1.00,0.0,100.0,False,1,0,0,0,0,0
15,13.20,5.0,NaN,1.00,0.0,100.0,True,0,0,0,0,0,0
16,10.86,3.0,5.0,1.00,0.0,50.0,True,0,1,0,0,0,1
17,2.38,4.8,3.9,1.00,0.0,95.2,True,0,1,1,0,1,1
18,6.83,4.8,4.6,1.21,30.8,80.8,True,0,1,1,1,0,1
19,12.08,5.0,5.0,1.17,33.3,66.7,False,0,1,1,0,1,1
20,2.53,3.0,NaN,1.00,0.0,50.0,False,0,0,0,0,0,0
21,3.31,5.0,NaN,1.00,0.0,100.0,False,1,0,1,0,0,0
22,11.47,5.0,NaN,1.00,0.0,100.0,False,0,0,1,0,1,0
23,7.74,5.0,5.0,1.00,0.0,100.0,True,0,1,0,0,1,1
24,2.10,4.7,4.5,1.02,9.1,36.4,False,1,0,1,1,0,0
25,14.48,5.0,NaN,1.00,0.0,100.0,True,0,0,1,0,0,0
26,1.66,5.0,4.0,1.00,0.0,100.0,False,1,0,0,0,0,0
27,3.05,5.0,5.0,1.05,20.0,100.0,False,0,0,1,1,0,0
28,5.97,5.0,NaN,1.50,100.0,0.0,False,0,0,1,0,1,1
29,11.25,5.0,4.0,1.00,0.0,100.0,False,1,0,0,0,0,0
30,6.12,4.8,5.0,1.00,0.0,25.0,True,1,0,1,1,0,0
31,11.86,5.0,4.9,1.00,0.0,40.0,False,0,0,1,0,0,1
32,10.01,5.0,4.0,2.00,100.0,100.0,False,0,0,1,0,0,1
33,4.48,5.0,NaN,1.00,0.0,100.0,True,0,0,1,0,0,0
34,4.12,5.0,NaN,1.25,100.0,100.0,False,1,0,0,0,0,0
35,14.16,5.0,5.0,1.00,0.0,100.0,False,0,1,0,1,0,0
36,2.43,4.5,NaN,1.00,0.0,50.0,False,1,0,1,1,0,1
37,1.38,5.0,4.0,1.00,0.0,50.0,False,1,0,1,0,1,0
